id,position,name,nombre_cadena,score,ratings,category,price_range,full_address,zip_code,lat,lng,estado,category_list,url_logo
14045,6,Pizza Hut(17020 TWIN LAKES AVE #C-103),Pizza Hut,4.6,15,"Pizza, Wings, Desserts",$,"17020 Twin Lakes Avenue, Marysville, WA, 98270",98270,48.15075,-122.19045,WA,"'Pizza', 'Wings', 'Desserts'",https://upload.wikimedia.org/wikipedia/commons/5/5d/Pizza_Hut_classic_logo.svg
14046,5,Popeyes (11533 38th Drive NE),Popeyes,4.4,137,"American, Chicken, Family Meals, Fried Chicken, Comfort Food",$,"11533 38th Drive NE, Marysville, WA, 98271",98271,48.09976,-122.17887,WA,"'American', 'Chicken', 'Family Meals', 'Fried Chicken', 'Comfort Food'",https://1000marcas.net/wp-content/uploads/2021/05/Popeyes-logo-tm.png
14048,3,Taco Bell (17105 27th Avenue NE),Taco Bell,4.4,76,"Burritos, Fast Food, Mexican",$,"17105 27th Avenue NE, Marysville, WA, 98271",98271,48.1518745,-122.1932298,WA,"'Burritos', 'Fast Food', 'Mexican'",https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Taco_Bell_2016.svg/1280px-Taco_Bell_2016.svg.png
14051,48,KFC (Marysville),KFC,4.1,28,"American, Fast Food, wings",$,"1234 State Ave, Marysville, WA, 98270",98270,48.0629472,-122.1765667,WA,"'American', 'Fast Food', 'wings'",https://1000marcas.net/wp-content/uploads/2020/01/KFC-logo-tumb.jpg
14055,18,Dairy Queen Grill &amp; Chill (325 Marysville Mall),Dairy Queen Grill &amp; Chill,4.5,71,"Ice Cream + Frozen Yogurt, Burgers, Chicken, American",$,"325, Marysville, WA, 98270",98270,48.0517091,-122.1791911,WA,"'Ice Cream + Frozen Yogurt', 'Burgers', 'Chicken', 'American'",
14056,17,Jersey Mike's (3704 172nd Street NE),Jersey Mike’s,4.8,36,"Sandwich, American",$,"3704 172nd Street NE, Arlington, WA, 98223",98223,48.1521437,-122.1786327,WA,"'Sandwich', 'American'",
14057,25,Little Caesars (6031-C 47th Avenue Ne),Little Caesars,4.4,74,"Pizza, American, Italian",$,"6031-C 47th Avenue Ne, Marysville, WA, 98270",98270,48.0513934,-122.1673493,WA,"'Pizza', 'American', 'Italian'",
14059,29,Popeyes (15201 Union Ave SW),Popeyes,3.8,26,"American, Chicken, Family Meals, Fried Chicken, Comfort Food",$,"15201 Union Ave SW, Lakewood, WA, 98498",98498,47.120879,-122.554669,WA,"'American', 'Chicken', 'Family Meals', 'Fried Chicken', 'Comfort Food'",https://1000marcas.net/wp-content/uploads/2021/05/Popeyes-logo-tm.png
14061,15,Starbucks (83rd Ave &amp; Steilacoom Blvd),Starbucks,4.8,61,"Bakery, Breakfast and Brunch, Cafe, Coffee &amp; Tea",$,"8223 Steilacoom Blvd Sw, Lakewood, WA, 98498",98498,47.18011,-122.547291,WA,"'Bakery', 'Breakfast and Brunch', 'Cafe', 'Coffee &amp; Tea'",https://1000marcas.net/wp-content/uploads/2019/12/Starbucks-Logo-tm.jpg
14065,36,Panda Express (10417 Gravelly Lake Drive SW),Panda Express,4.4,200,"Asian, Chinese, Family Meals",$$,"10417 Gravelly Lake Drive Sw, Lakewood, WA, 98499",98499,47.1622931,-122.5183825,WA,"'Asian', 'Chinese', 'Family Meals'",https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Panda_Express_logo.svg/1280px-Panda_Express_logo.svg.png
14067,18,Papa Johns (8813 Edgewater Dr SW),Papa John’s,4.6,42,"Pizza, Wings, Desserts, Sandwiches",$,"8813 Edgewater Dr SW, Lakewood, WA, 98499",98499,47.1775105,-122.5328475,WA,"'Pizza', 'Wings', 'Desserts', 'Sandwiches'",
14069,28,Crumbl Cookies (WA - Lakewood),Crumbl Cookies,4.7,118,"Bakery, Desserts, Snacks",$$,"5605, Lakewood, WA, 98499",98499,47.16527,-122.51032,WA,"'Bakery', 'Desserts', 'Snacks'",
14071,3,McDonald's® (Lakewood- 100th),McDonald’s,3.8,127,"American, Fast Food, Burgers",$,"6002 100TH ST SW, TACOMA, WA, 98499",98499,47.1663591,-122.5185285,WA,"'American', 'Fast Food', 'Burgers'",https://1000marcas.net/wp-content/uploads/2019/11/McDonalds-logo-tumb.jpg
14072,75,Papa Murphy's  (5700 100th Street South West Suite 410),Papa Murphy’s,4.5,17,Pizza,$,"5700 100th Street South West Suite 410, Lakewood, WA, 98499",98499,47.1663957,-122.5121839,WA,'Pizza',
